From	To
O15042	U2SURP
O15047	SETD1A
O15050	TRANK1
O15054	KDM6B
O15067	PFAS
O15084	ANKRD28
O15085	ARHGEF11
O15091	PRORP
O15111	CHUK
O15116	LSM1
O15117	FYB1
O15118	NPC1
O15120	AGPAT2
O15121	DEGS1
O15126	SCAMP1
O15127	SCAMP2
O15143	ARPC1B
O15144	ARPC2
O15145	ARPC3
O15156	ZBTB7B
O15160	POLR1C
O15164	TRIM24
O15169	AXIN1
O15173	PGRMC2
O15211	RGL2
O15212	PFDN6
O15213	WDR46
O15226	NKRF
O15228	GNPAT
O15229	KMO
O15231	ZNF185
O15234	CASC3
O15235	MRPS12
O15239	NDUFA1
O15247	CLIC2
O15254	ACOX3
O15258	RER1
O15260	SURF4
O15264	MAPK13
O15265	ATXN7
O15269	SPTLC1
O15270	SPTLC2
O15294	OGT
O15297	PPM1D
O15305	PMM2
O15320	MIA2
O15327	INPP4B
O15347	HMGB3
O15355	PPM1G
O15357	INPPL1
O15371	EIF3D
O15379	HDAC3
O15381	NVL
O15382	BCAT2
O15392	BIRC5
O15397	IPO8
O15400	STX7
O15427	SLC16A3
O15431	SLC31A1
O15439	ABCC4
O15446	POLR1G
O15498	YKT6
O15504	NUP42
O15511	ARPC5
O15514	POLR2D
O15523	DDX3Y
O15525	MAFG
O15530	PDPK1
O15541	RNF113A
O15550	KDM6A
O15553	MEFV
O15554	KCNN4
O43143	DHX15
O43148	RNMT
O43149	ZZEF1
O43150	ASAP2
O43156	TTI1
O43159	RRP8
O43164	PJA2
O43166	SIPA1L1
O43167	ZBTB24
O43169	CYB5B
O43172	PRPF4
O43181	NDUFS4
O43189	PHF1
O43237	DYNC1LI2
O43242	PSMD3
O43252	PAPSS1
O43257	ZNHIT1
O43264	ZW10
O43278	SPINT1
O43290	SART1
O43291	SPINT2
O43292	GPAA1
O43293	DAPK3
O43294	TGFB1I1
O43295	SRGAP3
O43296	ZNF264
O43299	AP5Z1
O43303	CCP110
O43310	CTIF
O43312	MTSS1
O43314	PPIP5K2
O43315	AQP9
O43318	MAP3K7
O43324	EEF1E1
O43325	LYRM1
O43353	RIPK2
O43390	HNRNPR
O43395	PRPF3
O43396	TXNL1
O43399	TPD52L2
O43402	EMC8
O43414	ERI3
O43422	THAP12
O43427	FIBP
O43439	CBFA2T2
O43447	PPIH
O43464	HTRA2
O43488	AKR7A2
O43490	PROM1
O43491	EPB41L2
O43493	TGOLN2
O43502	RAD51C
O43504	LAMTOR5
O43513	MED7
O43516	WIPF1
O43521	BCL2L11
O43524	FOXO3
O43566	RGS14
O43567	RNF13
O43572	AKAP10
O43583	DENR
O43586	PSTPIP1
O43592	XPOT
O43615	TIMM44
O43617	TRAPPC3
O43633	CHMP2A
O43639	NCK2
O43660	PLRG1
O43665	RGS10
O43676	NDUFB3
O43677	NDUFC1
O43678	NDUFA2
O43684	BUB3
O43704	SULT1B1
O43707	ACTN4
O43708	GSTZ1
O43709	BUD23
O43715	TRIAP1
O43719	HTATSF1
O43731	KDELR3
O43741	PRKAB2
O43747	AP1G1
O43752	STX6
O43760	SYNGR2
O43765	SGTA
O43766	LIAS
O43768	ENSA
O43772	SLC25A20
O43776	NARS1
O43805	SSNA1
O43808	SLC25A17
O43809	NUDT21
O43813	LANCL1
O43815	STRN
O43818	RRP9
O43819	SCO2
O43820	HYAL3
O43822	CFAP410
O43823	AKAP8
O43824	GTPBP6
O43829	ZBTB14
O43852	CALU
O43861	ATP9B
O43865	AHCYL1
O43866	CD5L
O43913	ORC5
O43920	NDUFS5
O43924	PDE6D
O43929	ORC4
O60216	RAD21
O60220	TIMM8A
O60231	DHX16
O60232	ZNRD2
O60234	GMFG
O60244	MED14
O60256	PRPSAP2
O60262	GNG7
O60264	SMARCA5
O60268	KIAA0513
O60271	SPAG9
O60281	ZNF292
O60287	URB1
O60291	MGRN1
O60292	SIPA1L3
O60293	ZFC3H1
O60296	TRAK2
O60306	AQR
O60307	MAST3
O60308	CEP104
O60313	OPA1
O60318	MCM3AP
O60331	PIP5K1C
O60336	MAPKBP1
O60337	MARCHF6
O60341	KDM1A
O60343	TBC1D4
O60427	FADS1
O60443	GSDME
O60447	EVI5
O60449	LY75
O60476	MAN1A2
O60486	PLXNC1
O60488	ACSL4
O60493	SNX3
O60496	DOK2
O60502	OGA
O60503	ADCY9
O60504	SORBS3
O60506	SYNCRIP
O60507	TPST1
O60508	CDC40
O60518	RANBP6
O60524	NEMF
O60547	GMDS
O60563	CCNT1
O60568	PLOD3
O60573	EIF4E2
O60583	CCNT2
O60602	TLR5
O60603	TLR2
O60645	EXOC3
O60664	PLIN3
O60669	SLC16A7
O60671	RAD1
O60674	JAK2
O60675	MAFK
O60678	PRMT3
O60684	KPNA6
O60701	UGDH
O60704	TPST2
O60711	LPXN
O60725	ICMT
O60739	EIF1B
O60749	SNX2
O60760	HPGDS
O60763	USO1
O60783	MRPS14
O60784	TOM1
O60825	PFKFB2
O60826	CCDC22
O60828	PQBP1
O60830	TIMM17B
O60831	PRAF2
O60832	DKC1
O60858	TRIM13
